t,face,x,y,val
148,7,61,39,0.8470025268771714
149,0,54,48,0.02949992887321986
150,1,37,44,0.44831333983710314
151,2,16,23,0.403356900448433
152,2,32,41,0.0005943156121493235
153,3,61,15,0.10129503506270772
154,4,58,28,0.7134212948988886
155,5,51,62,0.6927701545125406
156,6,60,63,0.6863647057928496
157,7,13,27,0.5971052079005233
158,0,40,18,0.4061314799001586
159,1,47,28,0.0029294816079705067
160,1,61,24,0.4470014007170569
161,2,42,43,0.004692691896255717
162,3,5,19,0.12491824206190315
163,4,62,6,0.5888679305871753
164,5,45,54,0.8527701049017111
165,6,8,41,0.9967584768219928
166,7,63,9,0.8845911190957273
167,0,10,12,0.06560902578817378
168,0,56,56,0.40000112616011446
169,1,13,44,0.41138533242681075
170,2,10,47,0.37989340231717295
171,3,33,59,0.09249105000174085
172,4,50,6,1.0
173,5,9,20,0.9993013583535498
174,6,28,57,0.5576775279912922
175,7,33,5,0.768967445364077
176,7,11,33,0.6761491018711737
177,0,56,18,0.020934515132166348
178,1,33,22,0.4041865077823626
179,2,10,3,0.15003624807917113
180,3,61,1,0.2723037278279317
181,4,22,56,0.8428558228044759
182,5,63,10,0.9831269935751253
183,6,26,15,0.7201903622342494
184,6,60,41,0.734820889878125
185,7,63,41,0.7516930415157626
186,0,36,16,0.022409712740784626
187,1,1,14,0.43854883046790444
188,2,20,13,0.010571559637899304
189,3,9,57,0.05953816689523196
190,4,26,32,0.9142770188892794
191,5,37,58,0.6145134940856529
192,5,1,40,0.5960806005044502
193,6,58,7,0.659780293249408
194,7,13,7,0.5095068946578669
195,0,54,58,0.0019190710288554606
196,1,43,42,0.004692691896255717
197,2,54,63,0.48458999293561283
198,3,3,35,0.4195644917420705
199,4,4,54,0.5086990870716595
