token,deg,reconnections,recon_cat,recon_gain,w_pre_sum,w_post_sum,gain_ratio,Δlambda2,Δmdl,post_lambda2,post_triad,post_size,band8_old,mod24_old,band8_new,mod24_new,Δband,Δmod24,H_pre,H_post,ΔH,C_pre,C_post,ΔC,mod24,band8,lambda_gain,mdl_gain,braid_simpl,reconn_any,s_gain_ratio,s_dlam,s_mdl,closure_index,in_topq_m24,in_topq_b8,stage0,stage1,stage2,stage3,stage4,stage5,evidence_tier,formal_certified
HODGE_SPLIT_GRAPH,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0007000943464527,0.0,147.0,6.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
II_25_1_LORENTZ_CUT,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0040291925937436,0.0,160.0,3.0,17.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False
KOL_MDL_DELTA,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0012854478304392,0.0181818181818181,174.0,7.0,18.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,7,True,True,True,False,0.0,0.0,0.0,0.4518181818181818,True,True,1,1,1,1,0,0,PROVEN,False
LAMINATED_LATTICES_SEQ,11,0,0,0,7.922136996885267,6.12165131577498,0.7727272727272728,0.0,0.0,0.0004510303390379,0.0,206.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
LEECH_MIN_SHELL_196560,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0072771605761859,0.0,124.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
LEECH_NO_ROOTS_MIN4,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.002160372803655,0.0,193.0,6.0,22.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,6,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
NOETHER_CONSERVATION,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.005478976672442,0.0,167.0,7.0,16.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False
PARITY_64BIT_LANES,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0015261334546472,0.0,113.0,3.0,15.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False
PROOF_E8_DENSEST_AM2017,11,0,0,0,7.922136996885267,6.12165131577498,0.7727272727272728,0.0,0.0,0.0010477013556339,0.0,98.0,4.0,11.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
PROOF_LEECH_DENSEST_AM2017,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0015801287655393,0.0,149.0,1.0,15.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
PROOF_UNIVERSAL_OPTIMALITY_AM2022,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0012411750285463,0.0,72.0,5.0,21.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
SMT_GODEL_GATES,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0019195124947036,0.0,325.0,3.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False
SPECTRAL_GAP_RAYLEIGH,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0035679771158582,0.0,140.0,7.0,13.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,7,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False
TURYN_3xE8_TO_LEECH,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0015219610508531,0.0,148.0,1.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
UQ_CONFORMAL_90COVERAGE,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0051039807344542,0.0,170.0,3.0,7.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False
WAVELET_FOURIER_SLICE,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0014931783806052,0.0,87.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False
about,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
abs,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
across,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
act,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
action,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
add,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
additional,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
after,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
also,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
an,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
analyze,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
applications,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
are,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
as,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
atom,3,0,0,0,2.1605828173323456,1.6204371129992592,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
available,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
ax1,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
base,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
baseline,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
basic,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
becomes,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
before,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
between,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
bonus,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
bouncing,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
by,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
canvas,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
capacity,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
cartan,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
chamber,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
channels,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
characteristics,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
chatgpt,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
color,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
complete,3,0,0,0,2.1605828173323456,1.6204371129992592,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
complex,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
component,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
computational,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
conditions,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
context,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
control,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
copy,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
could,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
creative,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
criteria,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
critical,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
database,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
de,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
default,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
define,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
dict,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
discovery,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
do,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
documentation,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
domain_context,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
dtt,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
due,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
during,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
efficiency,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
empty,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
enhanced,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
entire,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
environment,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
evidence_level,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
execution,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
execution_time,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
existing,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
exploration,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
exploring,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
extensions,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
final,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
focus,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
for,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
form,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
formula,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
forward,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
found,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False
