token,origin,H_pre,H_post,ΔH,C_pre,C_post,ΔC,Ceff_pre,Ceff_post,S_pre,S_post,reconnections
academic_publication_portfolio,natural,8.125665437090944,6.500532349672756,-1.6251330874181882,0,0,0,0,0,0,0,0
all_efficiencies,natural,8.506323928361217,6.805059142688974,-1.701264785672243,0,0,0,0,0,0,0,0
promising,natural,-6.375126101625563,0.0,6.375126101625563,0,0,0,0,0,0,0,0
opt_score,natural,-7.672015762218013,-6.137612609774411,1.534403152443602,0,0,0,0,0,0,0,0
rotation_2d,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2-4,natural,8.996140297581734,0.0,-8.996140297581734,0,0,0,0,0,0,0,0
CATALOG_NIEMEIER_24,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
n_display,natural,13.062870746918286,0.0,-13.062870746918286,0,0,0,0,0,0,0,0
average_efficiency,natural,-14.26494318387514,-11.411954547100112,2.8529886367750272,0,0,0,0,0,0,0,0
hinting,natural,6.895933134588448,5.516746507670759,-1.3791866269176891,0,0,0,0,0,0,0,0
ndecomposition,natural,-15.14268001562519,-12.114144012500153,3.028536003125037,0,0,0,0,0,0,0,0
LEECH_NO_ROOTS_MIN4,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
languagetype,natural,-11.394956136655928,-9.115964909324743,2.2789912273311845,0,0,0,0,0,0,0,0
WAVELET_FOURIER_SLICE,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
LEECH_MIN_SHELL_196560,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
scientifically,natural,8.712657746715358,0.0,-8.712657746715358,0,0,0,0,0,0,0,0
both,natural,-6.930730718594932,-5.5445845748759455,1.3861461437189861,0,0,0,0,0,0,0,0
executable,natural,-9.36507243696164,-7.492057949569312,1.8730144873923278,0,0,0,0,0,0,0,0
pathways_per_problem,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0
CODE_GOLAY_EXTENDED,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
PROOF_UNIVERSAL_OPTIMALITY_AM2022,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
SPECTRAL_GAP_RAYLEIGH,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
E8_THETA_WEIGHT4,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
NOETHER_CONSERVATION,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
winners_losers_data_n8,natural,-10.25957567288104,-8.207660538304832,2.0519151345762072,0,0,0,0,0,0,0,0
view-only,natural,12.734816549234084,0.0,-12.734816549234084,0,0,0,0,0,0,0,0
d4,natural,-13.848072526737342,-11.078458021389874,2.7696145053474677,0,0,0,0,0,0,0,0
GROTH_SHEAF_GLUE,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
int_,natural,8.288124912240205,6.6304999297921645,-1.6576249824480405,0,0,0,0,0,0,0,0
LAMINATED_LATTICES_SEQ,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
TURYN_3xE8_TO_LEECH,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
memory_usage,natural,-14.225142175817163,0.0,14.225142175817163,0,0,0,0,0,0,0,0
total_improvement_from_initial,natural,-12.134118002121768,0.0,12.134118002121768,0,0,0,0,0,0,0,0
updated_at,natural,12.131555768597435,9.705244614877948,-2.426311153719487,0,0,0,0,0,0,0,0
root_groups,natural,-8.16904350547616,-6.535234804380929,1.6338087010952318,0,0,0,0,0,0,0,0
CONSTRUCTION_A_TEMPLATE,synthetic,0.0,0.0,0.0,0,0,0,0,0,3,3,0
overall_performance,natural,9.085338828685604,7.268271062948483,-1.8170677657371206,0,0,0,0,0,0,0,0
largest,natural,13.06106625007154,10.448853000057234,-2.6122132500143067,0,0,0,0,0,0,0,0
weeks,natural,-6.9023303473396025,-5.521864277871682,1.3804660694679205,0,0,0,0,0,0,0,0
safeguards,natural,9.21536115502458,7.372288924019664,-1.843072231004916,0,0,0,0,0,0,0,0
outreach,natural,-12.11793257438083,-9.694346059504666,2.423586514876165,0,0,0,0,0,0,0,0
collaborative,natural,0.0,0.0,0.0,0,0,0,0,0,0,0,0
zeros_simple,natural,8.252580801219779,0.0,-8.252580801219779,0,0,0,0,0,0,0,1
