token,deg,reconnections,recon_cat,recon_gain,w_pre_sum,w_post_sum,gain_ratio,Δlambda2,Δmdl,post_lambda2,post_triad,post_size,band8_old,mod24_old,band8_new,mod24_new,Δband,Δmod24,H_pre,H_post,ΔH,C_pre,C_post,ΔC,mod24,band8,lambda_gain,mdl_gain,braid_simpl,reconn_any,s_gain_ratio,s_dlam,s_mdl,closure_index,in_topq_m24,in_topq_b8,stage0,stage1,stage2,stage3,stage4,stage5,evidence_tier,formal_certified,formal_certified_v2,formal_certified_v3
NOETHER_CONSERVATION,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.005478976672442,0.0,167.0,7.0,16.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False,False,False
PARITY_64BIT_LANES,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0015261334546472,0.0,113.0,3.0,15.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False,False,False
PROOF_E8_DENSEST_AM2017,11,0,0,0,7.922136996885267,6.12165131577498,0.7727272727272728,0.0,0.0,0.0010477013556339,0.0,98.0,4.0,11.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
PROOF_LEECH_DENSEST_AM2017,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0015801287655393,0.0,149.0,1.0,15.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
PROOF_UNIVERSAL_OPTIMALITY_AM2022,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0012411750285463,0.0,72.0,5.0,21.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
SMT_GODEL_GATES,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0019195124947036,0.0,325.0,3.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False,False,False
SPECTRAL_GAP_RAYLEIGH,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0035679771158582,0.0,140.0,7.0,13.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,7,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False,False,False
TURYN_3xE8_TO_LEECH,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0015219610508531,0.0,148.0,1.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
UQ_CONFORMAL_90COVERAGE,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0051039807344542,0.0,170.0,3.0,7.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False,False,False
WAVELET_FOURIER_SLICE,11,0,0,0,7.922136996885267,5.94160274766395,0.75,0.0,0.0,0.0014931783806052,0.0,87.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,True,1,1,1,1,0,0,PROVEN,False,False,False
about,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
abs,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
across,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
act,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
action,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
add,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
additional,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
after,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
also,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
an,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
analyze,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
applications,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
are,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
as,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
atom,3,0,0,0,2.1605828173323456,1.6204371129992592,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
available,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
ax1,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
base,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
baseline,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
basic,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
becomes,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
before,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
between,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
bonus,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
bouncing,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
by,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
canvas,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
capacity,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
cartan,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
chamber,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
channels,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
characteristics,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
chatgpt,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
color,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
complete,3,0,0,0,2.1605828173323456,1.6204371129992592,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
complex,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
component,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
computational,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
conditions,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
context,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
control,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
copy,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
could,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
creative,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
criteria,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
critical,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
database,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
de,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
default,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
define,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
dict,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
discovery,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
do,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
documentation,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
domain_context,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
dtt,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
due,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
during,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
efficiency,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
empty,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
enhanced,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
entire,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
environment,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
evidence_level,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
execution,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
execution_time,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
existing,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
exploration,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
exploring,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
extensions,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
final,2,0,0,0,1.4403885448882303,1.0802914086661728,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
focus,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
for,1,0,0,0,0.7201942724441152,0.5401457043330864,0.75,,,,0.0,,,,,,,,,,,,,,0,0,True,True,True,False,0.0,0.0,0.0,0.4499999999999999,True,False,1,1,1,1,0,0,PROVEN,False,False,False
