token,mod24,band8,EULER_smoke_v2,CLIFFORD_smoke_v2,KNOT_smoke_v2,formal_certified_v2,Δlambda2,Δmdl,braid_delta,braid_delta_z
not,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
np,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
objective,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
or,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
parity,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
performance,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
perm,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
permutation,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
permutations,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
potential,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
preservation,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
priority,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
progress,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
proof,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
py,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
pytest,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
quantum,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
ratio,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
re,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
real,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
recursive,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
reference_channels,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
refine,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
representation,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
representations,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
result,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
roots,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
rules,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
run,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
said,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
scale,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
score,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
scores,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
segment,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
self,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
separation,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
setup,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
shell,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
show,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
signs,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
size,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
solution,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
specific,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
sqrt,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
start_time,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
state,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
status,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
storage,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
strong,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
structures,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
systematic,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
tasks,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
tested,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
testing,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
tests,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
them,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
theorem,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
theory,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
these,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
three,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
traversal,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
truth,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
tuple,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
turn,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
type,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
universal,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
until,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
used,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
validation,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
validator,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
value,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
variety,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
ve,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
vector,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
vs,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
was,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
weights,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
what,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
when,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
why,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
will,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
winner,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
winners,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
work,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
would,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
write,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
yang-mills,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
year,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
yes,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
you,-1,-1,False,False,False,False,0.0,0.0,0.0,0.0
